거래일자,거래시간,지역,연료원,전력거래량(MWh)
2024-01-01,7,서울시,태양광,0
2024-01-01,8,서울시,태양광,0.000714
2024-01-01,9,서울시,태양광,0.616481
2024-01-01,10,서울시,태양광,3.255663
2024-01-01,11,서울시,태양광,5.838421
2024-01-01,12,서울시,태양광,8.784479
2024-01-01,13,서울시,태양광,6.735754
2024-01-01,14,서울시,태양광,4.332758
2024-01-01,15,서울시,태양광,2.234052
2024-01-01,16,서울시,태양광,0.768557
2024-01-01,17,서울시,태양광,0.270436
2024-01-01,18,서울시,태양광,0.008048
2024-01-01,19,서울시,태양광,0.07077
2024-01-01,20,서울시,태양광,0.16256
2024-01-01,21,서울시,태양광,0.14028
2024-01-01,22,서울시,태양광,0.03936
2024-01-01,23,서울시,태양광,0
2024-01-01,24,서울시,태양광,0
2024-01-01,1,세종시,태양광,0
2024-01-01,2,세종시,태양광,0
2024-01-01,3,세종시,태양광,0
2024-01-01,4,세종시,태양광,0
2024-01-01,5,세종시,태양광,0
2024-01-01,6,세종시,태양광,0
2024-01-01,7,세종시,태양광,0
2024-01-01,8,세종시,태양광,0.0003
2024-01-01,9,세종시,태양광,0.363926
2024-01-01,10,세종시,태양광,1.565837
2024-01-01,11,세종시,태양광,3.056528
2024-01-01,12,세종시,태양광,5.680444
2024-01-01,13,세종시,태양광,11.447003
2024-01-01,14,세종시,태양광,13.79637
2024-01-01,15,세종시,태양광,7.615549
2024-01-01,16,세종시,태양광,3.188614
2024-01-01,17,세종시,태양광,3.323237
2024-01-01,18,세종시,태양광,1.649751
2024-01-01,19,세종시,태양광,0.767489
2024-01-01,20,세종시,태양광,0.02016
2024-01-01,21,세종시,태양광,0
2024-01-01,22,세종시,태양광,0
2024-01-01,23,세종시,태양광,0
2024-01-01,24,세종시,태양광,0
2024-01-01,1,울산시,태양광,0
2024-01-01,2,울산시,태양광,0
2024-01-01,3,울산시,태양광,0
2024-01-01,4,울산시,태양광,0
2024-01-01,5,울산시,태양광,0
2024-01-01,6,울산시,태양광,0
2024-01-01,7,울산시,태양광,0
2024-01-01,8,울산시,태양광,0.003096
2024-01-01,9,울산시,태양광,0.492662
2024-01-01,10,울산시,태양광,4.354702
2024-01-01,11,울산시,태양광,14.487449
2024-01-01,12,울산시,태양광,25.216834
2024-01-01,13,울산시,태양광,20.868319
2024-01-01,14,울산시,태양광,14.147591
2024-01-01,15,울산시,태양광,7.25214
2024-01-01,16,울산시,태양광,4.869928
2024-01-01,17,울산시,태양광,2.46723
2024-01-01,18,울산시,태양광,0.260774
2024-01-01,19,울산시,태양광,0.234316
2024-01-01,20,울산시,태양광,0.32968
2024-01-01,21,울산시,태양광,0.07608
2024-01-01,22,울산시,태양광,0
2024-01-01,23,울산시,태양광,0
2024-01-01,24,울산시,태양광,0
2024-01-01,1,인천시,태양광,0
2024-01-01,2,인천시,태양광,0
2024-01-01,3,인천시,태양광,0
2024-01-01,4,인천시,태양광,0
2024-01-01,5,인천시,태양광,0
2024-01-01,6,인천시,태양광,0.00008
2024-01-01,7,인천시,태양광,0
2024-01-01,8,인천시,태양광,0.009903
2024-01-01,9,인천시,태양광,1.854978
2024-01-01,10,인천시,태양광,9.668028
2024-01-01,11,인천시,태양광,16.951976
2024-01-01,12,인천시,태양광,18.698057
2024-01-01,13,인천시,태양광,14.105465
2024-01-01,14,인천시,태양광,10.54949
2024-01-01,15,인천시,태양광,6.347345
2024-01-01,16,인천시,태양광,1.76702
2024-01-01,17,인천시,태양광,6.026715
2024-01-01,18,인천시,태양광,2.517901
2024-01-01,19,인천시,태양광,0.914517
2024-01-01,20,인천시,태양광,0.67988
2024-01-01,21,인천시,태양광,0.62592
2024-01-01,22,인천시,태양광,0.36672
2024-01-01,23,인천시,태양광,0.02784
2024-01-01,24,인천시,태양광,0
2024-01-01,1,전라남도,태양광,0
2024-01-01,2,전라남도,태양광,0
2024-01-01,3,전라남도,태양광,0
2024-01-01,4,전라남도,태양광,0
2024-01-01,5,전라남도,태양광,0
2024-01-01,6,전라남도,태양광,0
2024-01-01,7,전라남도,태양광,0
2024-01-01,8,전라남도,태양광,2.075911
2024-01-01,9,전라남도,태양광,135.577188
2024-01-01,10,전라남도,태양광,451.759324
2024-01-01,11,전라남도,태양광,581.874802
2024-01-01,12,전라남도,태양광,625.640006
2024-01-01,13,전라남도,태양광,776.119077
2024-01-01,14,전라남도,태양광,995.275862
2024-01-01,15,전라남도,태양광,787.411714
2024-01-01,16,전라남도,태양광,654.525875
2024-01-01,17,전라남도,태양광,666.808027
2024-01-01,18,전라남도,태양광,498.084591
2024-01-01,19,전라남도,태양광,430.277419
2024-01-01,20,전라남도,태양광,174.060398
2024-01-01,21,전라남도,태양광,50.485042
2024-01-01,22,전라남도,태양광,25.787006
2024-01-01,23,전라남도,태양광,4.229421
2024-01-01,24,전라남도,태양광,0.2516
2024-01-01,1,전라북도,태양광,0
2024-01-01,2,전라북도,태양광,0
2024-01-01,3,전라북도,태양광,0
2024-01-01,4,전라북도,태양광,0
2024-01-01,5,전라북도,태양광,0
2024-01-01,6,전라북도,태양광,0
2024-01-01,7,전라북도,태양광,0
2024-01-01,8,전라북도,태양광,0.589046
2024-01-01,9,전라북도,태양광,47.502745
2024-01-01,10,전라북도,태양광,181.920938
2024-01-01,11,전라북도,태양광,326.306993
2024-01-01,12,전라북도,태양광,395.215034
2024-01-01,13,전라북도,태양광,295.176243
2024-01-01,14,전라북도,태양광,247.933731
2024-01-01,15,전라북도,태양광,270.254417
2024-01-01,16,전라북도,태양광,160.807634
2024-01-01,17,전라북도,태양광,91.547236
2024-01-01,18,전라북도,태양광,48.819533
2024-01-01,19,전라북도,태양광,52.482934
2024-01-01,20,전라북도,태양광,39.092076
2024-01-01,21,전라북도,태양광,22.713721
2024-01-01,22,전라북도,태양광,10.837951
2024-01-01,23,전라북도,태양광,3.510744
2024-01-01,24,전라북도,태양광,0.616544
2024-01-01,1,제주도,태양광,0.000256
2024-01-01,2,제주도,태양광,0.000264
2024-01-01,3,제주도,태양광,0.000264
2024-01-01,4,제주도,태양광,0.000352
2024-01-01,5,제주도,태양광,0.000384
