기준연월,시간대,행정동코드,행정동명,이동건수
2022-04,01,2614051000,동대신1동,92216
2022-04,03,2614051000,동대신1동,92727
2022-04,05,2614051000,동대신1동,96982
2022-04,07,2614051000,동대신1동,92890
2022-04,20,2614051000,동대신1동,98477
2022-04,08,2614051000,동대신1동,92088
2022-04,04,2614051000,동대신1동,90986
2022-04,22,2614051000,동대신1동,102327
2022-04,06,2614051000,동대신1동,94349
2022-04,19,2614051000,동대신1동,97283
2022-04,23,2614051000,동대신1동,92239
2022-04,02,2614051000,동대신1동,92314
2022-04,21,2614051000,동대신1동,99678
2022-04,11,2614052000,동대신2동,102910
2022-04,07,2614052000,동대신2동,103983
2022-04,20,2614052000,동대신2동,111579
2022-04,04,2614052000,동대신2동,105879
2022-04,02,2614052000,동대신2동,106733
2022-04,19,2614052000,동대신2동,107716
2022-04,03,2614052000,동대신2동,106955
2022-04,13,2614052000,동대신2동,101432
2022-04,15,2614052000,동대신2동,101102
2022-04,21,2614052000,동대신2동,114246
2022-04,08,2614052000,동대신2동,109540
2022-04,22,2614052000,동대신2동,117067
2022-04,23,2614052000,동대신2동,106522
2022-04,09,2614052000,동대신2동,106338
2022-04,14,2614052000,동대신2동,101182
2022-04,12,2614052000,동대신2동,101983
2022-04,17,2614052000,동대신2동,99675
2022-04,16,2614052000,동대신2동,97866
2022-04,06,2614052000,동대신2동,103517
2022-04,05,2614052000,동대신2동,105232
2022-04,18,2614052000,동대신2동,104806
2022-04,01,2614052000,동대신2동,107045
2022-04,00,2614052000,동대신2동,108428
2022-04,10,2614052000,동대신2동,103386
2022-04,00,2614053000,동대신3동,398981
2022-04,07,2614053000,동대신3동,435652
2022-04,12,2614053000,동대신3동,424306
2022-04,23,2614053000,동대신3동,404578
2022-04,15,2614053000,동대신3동,414503
2022-04,08,2614053000,동대신3동,443059
2022-04,03,2614053000,동대신3동,402275
2022-04,01,2614053000,동대신3동,399687
2022-04,17,2614053000,동대신3동,388490
2022-04,21,2614053000,동대신3동,387043
2022-04,10,2614053000,동대신3동,441830
2022-04,13,2614053000,동대신3동,424927
2022-04,18,2614053000,동대신3동,387910
2022-04,16,2614053000,동대신3동,401786
2022-04,06,2614053000,동대신3동,417093
2022-04,22,2614053000,동대신3동,381306
2022-04,04,2614053000,동대신3동,407788
2022-04,02,2614053000,동대신3동,401508
2022-04,14,2614053000,동대신3동,424177
2022-04,09,2614053000,동대신3동,445984
2022-04,20,2614053000,동대신3동,388545
2022-04,05,2614053000,동대신3동,413622
2022-04,11,2614053000,동대신3동,435092
2022-04,19,2614053000,동대신3동,389164
2022-04,18,2614054000,서대신1동,497058
2022-04,21,2614054000,서대신1동,521395
2022-04,09,2614054000,서대신1동,434998
